epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-26,60,SP,Novo Horizonte,3533502,city,37,90.12959,0,0,0,0.0,41052,True,False
26,2020-06-26,43,SP,Nuporanga,3533601,city,4,53.82131,1,1,0,0.25,7432,True,False
26,2020-06-26,21,SP,Ocauçu,3533700,city,3,69.94637,0,0,0,0.0,4289,True,False
26,2020-06-26,8,SP,Óleo,3533809,city,1,40.0641,0,0,0,0.0,2496,True,False
26,2020-06-26,80,SP,Olímpia,3533908,city,110,200.83254,11,3,0,0.0273,54772,True,False
26,2020-06-26,37,SP,Onda Verde,3534005,city,7,159.78087,1,0,0,0.0,4381,True,False
26,2020-06-26,36,SP,Oriente,3534104,city,6,92.09517,0,0,0,0.0,6515,True,False
26,2020-06-26,84,SP,Orlândia,3534302,city,120,272.55383,9,4,0,0.0333,44028,True,False
26,2020-06-26,101,SP,Osasco,3534401,city,5315,761.00559,111,474,3,0.0892,698418,True,False
26,2020-06-26,56,SP,Osvaldo Cruz,3534609,city,10,30.41455,1,0,0,0.0,32879,True,False
26,2020-06-26,78,SP,Ourinhos,3534708,city,335,295.04501,2,4,0,0.0119,113542,True,False
26,2020-06-26,43,SP,Ouroeste,3534757,city,21,202.68314,5,0,0,0.0,10361,True,False
26,2020-06-26,50,SP,Pacaembu,3534906,city,38,267.66218,0,2,0,0.0526,14197,True,False
26,2020-06-26,39,SP,Palestina,3535002,city,10,77.17836,1,0,0,0.0,12957,True,False
26,2020-06-26,40,SP,Palmares Paulista,3535101,city,21,158.19209,4,2,0,0.0952,13275,True,False
26,2020-06-26,37,SP,Palmeira d'Oeste,3535200,city,18,193.90283,2,0,0,0.0,9283,True,False
26,2020-06-26,65,SP,Palmital,3535309,city,27,121.50668,1,1,0,0.037,22221,True,False
26,2020-06-26,43,SP,Panorama,3535408,city,12,76.06009,0,1,0,0.0833,15777,True,False
26,2020-06-26,29,SP,Paraguaçu Paulista,3535507,city,46,100.64985,0,1,0,0.0217,45703,True,False
26,2020-06-26,59,SP,Paraibuna,3535606,city,25,137.1968,0,0,0,0.0,18222,True,False
